queue_transaction_latency_avg,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
329,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
330,1e-06,1e-06,1e-06,1e-06,0,1e-06,1e-06
331,1e-06,0.0,1e-06,1e-06,0,1e-06,1e-06
332,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
333,0,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
334,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
335,1e-06,0,1e-06,1e-06,1e-06,1e-06,1e-06
336,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
337,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
338,1e-06,0.0,1e-06,1e-06,1e-06,1e-06,1e-06
339,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0
340,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
341,1e-06,1e-06,1e-06,1e-06,0,1e-06,1e-06
342,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0
343,1e-06,1e-06,1e-06,0.0,1e-06,1e-06,0
344,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
345,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
346,1e-06,0.0,1e-06,1e-06,1e-06,1e-06,1e-06
347,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,0
348,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
349,1e-06,0,1e-06,1e-06,1e-06,1e-06,1e-06
350,1e-06,0,1e-06,1e-06,1e-06,0,1e-06
351,1e-06,0,1e-06,1e-06,1e-06,1e-06,1e-06
352,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
353,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
354,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
355,0.0,1e-06,1e-06,1e-06,1e-06,0.0,1e-06
356,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
357,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
358,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
359,1e-06,0.0,1e-06,1e-06,1e-06,0,1e-06
360,0.0,0,1e-06,1e-06,1e-06,1e-06,1e-06
361,1e-06,1e-06,1e-06,0.0,1e-06,1e-06,1e-06
362,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
363,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
364,1e-06,1e-06,1e-06,1e-06,0.0,1e-06,1e-06
365,0,1e-06,1e-06,1e-06,1e-06,0.0,1e-06
366,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
367,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
368,0.0,1e-06,1e-06,1e-06,1e-06,0,1e-06
369,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
370,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
371,0.0,0,0,1e-06,1e-06,1e-06,1e-06
372,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
373,1e-06,0.0,0.0,1e-06,1e-06,1e-06,1e-06
374,1e-06,1e-06,1e-06,0,1e-06,1e-06,0.0
375,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
376,1e-06,0.0,1e-06,1e-06,1e-06,1e-06,0
377,1e-06,0.0,1e-06,1e-06,1e-06,1e-06,0.0
378,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
379,1e-06,0,1e-06,1e-06,1e-06,1e-06,1e-06
380,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
381,0.0,1e-06,1e-06,1e-06,0,1e-06,1e-06
