journal_latency,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
239,0.02314,0.011701,0.015044,0.003368,0.0038,0.007351,0.009463
240,0.008104,0.011331,0.012376,0.005766,0.00771,0.015528,0.009318
241,0.009709,0.016086,0.009032,0.006759,0.014698,0.008849,0.013179
242,0.013005,0.009837,0.018205,0.0068,0.008934,0.018193,0.016437
243,0.021592,0,0.019396,0.007696,0.004488,0.007028,0.009151
244,0.018733,0.020538,0.01781,0.007685,0.009498,0.013042,0.01213
245,0,0.012003,0.00782,0.017457,0.015844,0.015662,0.014348
246,0.014939,0.019465,0.016236,0.003546,0.008433,0.004165,0.008782
247,0.013226,0.021903,0.026317,0.008933,0.017841,0.018223,0.014568
248,0.014213,0.02166,0.019981,0.009539,0.003744,0.014213,0.008668
249,0.00759,0.00775,0.004806,0.002989,0.006293,0.011109,0.019709
250,0.009708,0.016766,0.011447,0.009888,0.016023,0.015964,0.011736
251,0.009816,0.01455,0.017119,0.003377,0.003462,0.01255,0.012189
252,0.011678,0.024824,0.012402,0.002875,0.003487,0.009519,0.007902
253,0.015708,0.007013,0.009718,0.013692,0.015747,0.017795,0.013787
254,0.018017,0.016532,0.007472,0.013581,0.002866,0.01279,0.012073
255,0.009082,0.02352,0.012418,0.003823,0.003684,0.011348,0.009532
256,0.012724,0.023005,0.021594,0,0.003242,0.009875,0.009333
257,0.020646,0.012179,0.019819,0.006793,0.008592,0.008898,0.004958
258,0.010928,0.017316,0.014598,0.005123,0,0.012745,0.029423
259,0.021066,0.009028,0.009378,0.003524,0.007275,0.004107,0.003292
260,0.015245,0.00376,0.020731,0.003324,0,0.00825,0.013228
261,0.007368,0.011476,0.018529,0.003418,0,0.006898,0.006689
262,0.008641,0.018096,0.014588,0.013133,0.009057,0.007703,0.010817
263,0.015569,0.019675,0.008319,0.014285,0.014491,0.020616,0.009077
264,0.014952,0.009836,0.011757,0.004592,0.0052,0.003494,0.007797
265,0,0.014268,0.010893,0.00337,0.003064,0.014169,0.005983
266,0.005069,0.020199,0.009707,0.004681,0.00414,0.006282,0.007719
267,0.003254,0.006502,0.003559,0.005186,0.011828,0.015171,0.007955
268,0.016906,0.016981,0.009906,0.002604,0.009637,0.003197,0.004312
269,0.019703,0.018948,0.016541,0.007605,0.005947,0.00817,0.008313
270,0.012121,0.012578,0.019367,0.002824,0,0.003785,0.007548
271,0.012141,0.020702,0.005023,0.01061,0.015415,0.005541,0
272,0.006106,0.010704,0,0.006418,0.009968,0.006006,0.021643
273,0.005303,0.018055,0.0091,0.004381,0.012952,0.009261,0.006356
274,0.014328,0.019062,0.013575,0.003605,0.003339,0.017963,0.009517
275,0.005352,0.017806,0.016945,0.007465,0.006548,0.004325,0.007026
