journal_wr_bytes,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
336,39629.0,42431.0,39847.0,40044.0,38744.0,47508.0,41133.0
337,43986.0,40057.0,44162.0,39859.0,41783.0,39692.0,47227.0
338,42410.0,41897.0,39355.0,44514.0,42313.0,38335.0,39630.0
339,38472.0,43349.0,37781.0,43275.0,41228.0,41311.0,0
340,45808.0,40364.0,40618.0,43829.0,41454.0,40969.0,40259.0
341,39652.0,40712.0,41877.0,38725.0,0,39645.0,44444.0
342,42952.0,40855.0,42041.0,41812.0,38552.0,39467.0,0
343,52371.0,38856.0,43220.0,40532.0,40364.0,40705.0,0
344,41093.0,41600.0,38970.0,40554.0,40712.0,38927.0,39324.0
345,38964.0,39235.0,38852.0,45658.0,38710.0,38395.0,41106.0
346,40431.0,39030.0,41467.0,45414.0,38395.0,41425.0,39063.0
347,38844.0,40222.0,43287.0,39530.0,39853.0,43086.0,0
348,38805.0,44791.0,42989.0,47445.0,43690.0,41518.0,38053.0
349,40737.0,0,40483.0,50861.0,45423.0,39550.0,39153.0
350,42730.0,0,38280.0,40928.0,45947.0,0,41183.0
351,45258.0,0,50861.0,42456.0,42501.0,38859.0,41499.0
352,46535.0,45891.0,39375.0,41793.0,40318.0,43330.0,52972.0
353,43174.0,45205.0,40352.0,42203.0,38102.0,37781.0,38567.0
354,38735.0,40815.0,46272.0,41573.0,39209.0,40584.0,38656.0
355,42472.0,38888.0,41650.0,39029.0,40689.0,49152.0,42594.0
356,39030.0,36910.0,38763.0,45015.0,43094.0,42842.0,44016.0
357,39465.0,38598.0,46691.0,39355.0,39981.0,43135.0,39720.0
358,39703.0,38145.0,38464.0,44561.0,45862.0,40034.0,41710.0
359,47014.0,48476.0,44803.0,44544.0,39564.0,0,41092.0
360,47128.0,0,42783.0,42339.0,49810.0,38710.0,39744.0
361,39649.0,38086.0,48151.0,44193.0,43784.0,45543.0,43398.0
362,37666.0,40364.0,39871.0,41990.0,41077.0,43651.0,40387.0
363,41345.0,40712.0,38742.0,43207.0,40045.0,40295.0,66764.0
364,37804.0,43880.0,43680.0,43720.0,39030.0,48843.0,45291.0
365,0,37933.0,40849.0,48747.0,39376.0,42409.0,40364.0
366,40520.0,38744.0,42469.0,45024.0,38415.0,40022.0,40421.0
367,48645.0,36864.0,43206.0,41716.0,39204.0,40520.0,38021.0
368,42546.0,47570.0,39853.0,43093.0,46044.0,0,43597.0
369,40022.0,44988.0,41208.0,39724.0,42970.0,38461.0,39831.0
370,40712.0,42212.0,46409.0,42545.0,39703.0,44646.0,44085.0
371,40712.0,0,0,45223.0,49655.0,50100.0,45409.0
372,44162.0,37814.0,46581.0,46538.0,43630.0,40797.0,43139.0
373,44977.0,37781.0,40876.0,41979.0,41134.0,39953.0,42462.0
374,42032.0,38744.0,41298.0,0,43968.0,44262.0,43754.0
375,44160.0,41391.0,45019.0,41979.0,38997.0,38086.0,42648.0
376,41667.0,40649.0,39337.0,39984.0,47363.0,40169.0,0
377,40100.0,52034.0,40867.0,45862.0,40571.0,39851.0,39723.0
378,44225.0,37781.0,49229.0,40571.0,43838.0,52420.0,43705.0
379,37767.0,0,40422.0,39849.0,38502.0,41665.0,51706.0
380,41463.0,43545.0,42994.0,36864.0,38864.0,40504.0,39993.0
381,41642.0,39041.0,49152.0,43181.0,0,40122.0,41765.0
382,43214.0,39869.0,39930.0,42738.0,40572.0,44892.0,41573.0
