journal_bytes,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
219,1903293625,1321742375,1918277683,2062841286,1854642595,2121651829,2536107807
220,1910663469,1321742375,1940045237,2075089269,1862328259,2135607040,2539336249
221,1910663469,1333106506,1945208836,2079262390,1868117103,2145592694,2542527214
222,1916489827,1345862172,1954170301,2094339498,1879306990,2158037383,2548319635
223,1927277815,1353136365,1962376235,2107767954,1886078118,2166529818,2561417292
224,1942072952,1353136365,1972782784,2123623750,1893157095,2180470133,2571377211
225,1946552652,1357627488,1992837453,2138100682,1900946723,2184954329,2582867796
226,1951046084,1366133184,2012530228,2164437609,1904247537,2189451337,2584198413
227,1960019094,1366589198,2026597614,2179409926,1914457606,2193925373,2607055438
228,1973483355,1371079279,2037943381,2193649578,1926490635,2198416369,2620098647
229,1982469177,1377848323,2041871031,2202028716,1926490635,2210271702,2638024012
230,1986957991,1393515380,2051244026,2214830895,1939613676,2223281101,2644224672
231,1990567571,1398012388,2060247495,2225556694,1948904688,2229738720,2660434714
232,2004043474,1404257361,2066396698,2243411465,1964811624,2243303688,2671141716
233,2012007519,1411345449,2079842359,2246918123,1976378023,2243303688,2690376349
234,2018385007,1415974697,2082825171,2255886515,1989000408,2256756276,2693815162
235,2018385007,1421305382,2097823456,2264721616,2002740562,2266206524,2700827211
236,2027366211,1432953805,2102279502,2273839589,2019065093,2279174027,2705320643
237,2040843156,1438428351,2108907954,2282817344,2025166533,2293439543,2709524223
238,2045322734,1444535595,2111815930,2291767264,2026432881,2298950313,2727602266
239,2047145696,1456384080,2126595342,2303440161,2043089710,2315067711,2735123383
240,2055765852,1460875330,2141290746,2305408054,2060274667,2327186453,2745695039
241,2070576165,1465363102,2151673763,2323180077,2065543369,2335432082,2759651531
242,2087945615,1469856534,2159217938,2334191502,2070910375,2346484096,2770176362
243,2095493302,1478814648,2165811412,2350076464,2080801272,2358636408,2783838424
244,2106180566,1478814648,2179678920,2354779316,2098636401,2364844220,2790156146
245,2112645462,1483298844,2184058927,2367615639,2102349970,2368916728,2799552389
246,2112645462,1495116892,2201639091,2379434630,2118413600,2380393214,2812715950
247,2124374659,1505045175,2210055487,2393786191,2119395756,2383238084,2817525075
248,2136287243,1514732537,2212157798,2406388520,2124237649,2391577399,2829647132
249,2158441988,1521610163,2219035424,2408458063,2141258638,2401226108,2844447804
250,2168863658,1523710165,2221108543,2410634165,2159797616,2423926220,2853528231
251,2175656009,1531953485,2236543915,2419569976,2164288739,2434096691,2871363360
252,2197007259,1534094488,2245990356,2426417143,2173250204,2441887586,2875856792
