stat_bytes_avail,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
37,59352780800,62464258048,57243099136,56949104640,56578580480,57118310400,54005002240
38,59351142400,62464258048,57243099136,56953626624,56578048000,57118310400,54001786880
39,59351142400,62463168512,57243099136,56953221120,56578048000,57118310400,54001786880
40,59351142400,62463168512,57240698880,56953221120,56578048000,57118310400,54001786880
41,59351142400,62463168512,57240698880,56953221120,56578048000,57115578368,54001786880
42,59354312704,62462128128,57240698880,56953221120,56575811584,57115578368,54001786880
43,59354312704,62461677568,57240698880,56953221120,56575811584,57115578368,54004477952
44,59354312704,62460493824,57244446720,56951746560,56575500288,57115578368,54004477952
45,59354312704,62460493824,57244446720,56951746560,56575287296,57115578368,54004477952
46,59354312704,62460493824,57244446720,56951746560,56575033344,57112813568,54004477952
47,59351302144,62460493824,57244446720,56951746560,56575033344,57112813568,54004477952
48,59351302144,62460493824,57244446720,56950681600,56575033344,57112813568,54000975872
49,59351302144,62465482752,57242628096,56950681600,56575033344,57117556736,54000975872
50,59351302144,62465482752,57242628096,56948850688,56575033344,57117556736,54000975872
51,59351302144,62465482752,57242628096,56948498432,56573304832,57117556736,54000975872
52,59354218496,62465482752,57242628096,56948498432,56578572288,57117556736,54000975872
53,59354218496,62465482752,57240002560,56948228096,56578572288,57117556736,54003871744
54,59354005504,62464221184,57240002560,56948228096,56578572288,57114550272,54009774080
55,59353624576,62464221184,57240002560,56951853056,56578572288,57114550272,54008619008
56,59353624576,62463414272,57250164736,56951853056,56578572288,57114550272,54008619008
57,59351371776,62463414272,57250164736,56951853056,56577212416,57113006080,54008066048
58,59351371776,62463414272,57249579008,56951853056,56577212416,57113006080,54008066048
59,59351371776,62463414272,57249579008,56951853056,56577212416,57117192192,54007021568
60,59349622784,62463414272,57249579008,56950239232,56577212416,57131008000,54007021568
61,59349622784,62462013440,57247752192,56950239232,56574435328,57131008000,54007021568
62,59349622784,62461784064,57247752192,56950239232,56574435328,57131008000,54006370304
63,59349622784,62461784064,57247150080,56948486144,56573890560,57129426944,54005915648
64,59353956352,62460182528,57247150080,56948486144,56573550592,57129426944,54005915648
65,59353100288,62460182528,57247150080,56948486144,56573550592,57129426944,54005915648
66,59353100288,62460182528,57247150080,56948486144,56573296640,57129426944,54005915648
67,59353100288,62460182528,57244655616,56948486144,56572809216,57129426944,54005915648
68,59351388160,62460182528,57244655616,56944988160,56572809216,57126825984,54008999936
69,59351388160,62464700416,57244655616,56944988160,56577339392,57126825984,54008270848
70,59351388160,62464700416,57244655616,56944988160,56577339392,57126825984,54008270848
71,59351388160,62464700416,57249529856,56944988160,56577339392,57126825984,54007431168
72,59351388160,62464700416,57248690176,56944988160,56577339392,57126825984,54007431168
73,59349323776,62463533056,57248690176,56955408384,56577339392,57131139072,54007431168
74,59349323776,62463533056,57248690176,56955408384,56574156800,57131139072,54005751808
75,59349323776,62463533056,57248690176,56955408384,56574156800,57130217472,54004133888
76,59349323776,62463533056,57246179328,56955408384,56574156800,57130217472,54004133888
77,59347959808,62461665280,57246179328,56955408384,56574156800,57130217472,54004133888
78,59347959808,62461665280,57246179328,56952709120,56574156800,57128390656,54004133888
79,59347959808,62461665280,57246179328,56952709120,56572067840,57128390656,54007058432
80,59355283456,62461665280,57244491776,56952709120,56572067840,57128390656,54007058432
81,59355062272,62461665280,57244491776,56955863040,56571772928,57128390656,54007058432
82,59354578944,62460280832,57244491776,56955863040,56571772928,57126498304,54007058432
83,59354578944,62460280832,57244491776,56955863040,56571772928,57126498304,54006231040
84,59354578944,62460280832,57247854592,56954462208,56571772928,57126498304,54006231040
85,59352981504,62460280832,57247854592,56954462208,56571772928,57126498304,54006231040
86,59352739840,62460280832,57247854592,56951578624,56578150400,57124290560,54006231040
87,59352592384,62469312512,57247854592,56951578624,56578150400,57124290560,54006231040
88,59352592384,62469312512,57245990912,56955744256,56578150400,57129431040,54008320000
89,59351543808,62467985408,57245990912,56955744256,56576786432,57129431040,54008320000
90,59351543808,62467985408,57244667904,56954957824,56576311296,57129431040,54008320000
91,59351543808,62467985408,57244667904,56954957824,56576311296,57128058880,54008320000
92,59350364160,62467059712,57242386432,56954155008,56574967808,57128058880,54008320000
93,59350364160,62467059712,57242386432,56953114624,56574967808,57128058880,54005100544
94,59350364160,62467059712,57242386432,56953114624,56574967808,57126686720,54005100544
95,59350364160,62465937408,57242386432,56953114624,56578637824,57126686720,54005100544
96,59350364160,62465937408,57246601216,56953114624,56578637824,57126686720,54005100544
97,59354066944,62465937408,57246601216,56953114624,56578637824,57126686720,54003036160
98,59354066944,62465937408,57245569024,56950996992,56578637824,57123721216,54002765824
99,59354066944,62464729088,57245569024,56950996992,56575877120,57123721216,54002765824
100,59354066944,62464258048,57245569024,56950996992,56575877120,57123721216,54002765824
101,59352350720,62464258048,57244413952,56954920960,56575709184,57123721216,54002765824
102,59352350720,62464258048,57244413952,56954920960,56575709184,57127555072,54002765824
103,59352350720,62462877696,57244413952,56954920960,56575709184,57127555072,54008893440
104,59352350720,62462877696,57242329088,56954920960,56575709184,57127555072,54007861248
105,59350556672,62462877696,57242329088,56953061376,56575709184,57126285312,54007861248
106,59350556672,62462877696,57241415680,56953061376,56572583936,57126285312,54007861248
107,59350556672,62462877696,57241415680,56951463936,56572583936,57126285312,54007861248
108,59350556672,62467411968,57241415680,56951463936,56572583936,57126285312,54006013952
109,59350556672,62467411968,57249665024,56950996992,56572583936,57123659776,54006013952
110,59354353664,62467411968,57249243136,56950996992,56572583936,57123438592,54004772864
111,59354353664,62467411968,57249243136,56950996992,56576126976,57122721792,54004772864
112,59352629248,62465536000,57249243136,56950042624,56575901696,57122721792,54004772864
113,59351334912,62465536000,57249243136,56950042624,56575901696,57122721792,54004772864
