op_w_latency,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
405,0,0.019885,0.018732,0.034591,0.020219,0.022518,0.019703
406,0.02052,0.023984,0.022033,0.018311,0.010419,0,0.017419
407,0.014826,0.019347,0.017751,0.024875,0,0,0
408,0.024314,0,0.024782,0.012738,0.012358,0.013752,0
409,0.021127,0.008042,0.021946,0.022415,0.018769,0.025924,0.012594
410,0.022046,0.023003,0.015298,0.019344,0.024899,0.010852,0
411,0.01773,0.014858,0.013377,0.022204,0.014308,0,0.038294
412,0,0.017976,0.065185,0.018661,0,0.017541,0.025935
413,0.021443,0.022767,0.028169,0,0.012254,0.014256,0
414,0,0.007952,0.017848,0,0,0.015027,0
415,0,0.019774,0.01406,0.012449,0,0.021572,0.016568
416,0.020679,0.026773,0.013112,0,0.020852,0.021613,0.015381
417,0.01328,0,0.024074,0.017864,0.019356,0.012684,0.023782
418,0.019405,0,0.022449,0.01922,0,0.020091,0
419,0.018583,0,0.021749,0,0.028782,0.036597,0.020676
420,0.017623,0.025359,0.019831,0.012083,0,0.024067,0.021965
421,0.024867,0.01671,0.022275,0.012276,0.012651,0.021607,0.023993
422,0.017011,0,0.022696,0,0.02015,0,0.012976
423,0.021815,0.025602,0.019771,0.021991,0.014101,0.013155,0.007538
424,0,0.021364,0.020688,0.031972,0,0.022303,0.029689
425,0.037467,0,0.011123,0.009811,0,0.020968,0.020982
426,0.024401,0.022519,0,0,0.023881,0.023416,0.021122
427,0.023746,0.020837,0.020837,0.007177,0,0.023413,0.015607
428,0,0,0.017824,0.008097,0.017579,0.017251,0
429,0.020478,0,0.021455,0,0.00865,0.021996,0.010567
430,0.025045,0.015825,0.019948,0.012722,0,0.022768,0.014714
431,0.018022,0.022831,0.022573,0.023103,0,0,0.014211
