apply_latency,node164_ceph-osd.0.asok.txt,node164_ceph-osd.1.asok.txt,node164_ceph-osd.7.asok.txt,node165_ceph-osd.2.asok.txt,node165_ceph-osd.3.asok.txt,node166_ceph-osd.4.asok.txt,node166_ceph-osd.5.asok.txt
257,0.021427,0.019985,0.020467,0.014262,0.00925,0.009522,0.00561
258,0.011804,0.018034,0.015306,0.005843,0,0.01337,0.03033
259,0.021952,0.009636,0.010467,0.004314,0.007911,0.004836,0.003784
260,0.016223,0.00433,0.021392,0.003892,0,0.009753,0.013946
261,0.008433,0.01228,0.019393,0.004139,0,0.007493,0.007273
262,0.010033,0.018961,0.01531,0.013805,0.009692,0.008356,0.011458
263,0.016219,0.020525,0.009334,0.014973,0.015271,0.021254,0.009861
264,0.015536,0.010507,0.013004,0.005289,0.005867,0.004171,0.008473
265,0,0.015053,0.011575,0.004077,0.003666,0.014905,0.006611
266,0.005772,0.020917,0.01063,0.005368,0.004943,0.007016,0.008589
267,0.00386,0.007378,0.004136,0.006066,0.01287,0.015861,0.009004
268,0.017764,0.017732,0.010574,0.0031,0.010463,0.003777,0.005068
269,0.020525,0.019761,0.017301,0.008242,0.006748,0.008849,0.00909
270,0.012951,0.013474,0.020031,0.003487,0,0.004395,0.00841
271,0.013005,0.021345,0.005616,0.011298,0.016303,0.006314,0
272,0.00699,0.011259,0,0.007184,0.010602,0.006763,0.022413
273,0.006297,0.018797,0.009773,0.005671,0.013545,0.01005,0.007261
274,0.015341,0.019971,0.01437,0.004677,0.003972,0.018659,0.01022
275,0.009121,0.018422,0.017614,0.008561,0.007224,0.005242,0.00768
276,0.01827,0.010392,0.008584,0.013972,0.016064,0.006556,0
277,0.012692,0,0.011043,0.0054,0.004211,0.004798,0.006267
278,0.015732,0.010213,0.006554,0.010355,0.007911,0.016983,0.006336
279,0.019416,0.009528,0.02267,0.010207,0.01007,0,0.004755
280,0.020665,0.020916,0.01498,0.017309,0.012663,0.007262,0.004927
281,0.02059,0,0.017039,0.008713,0.012594,0.020875,0.008259
282,0.007956,0,0.01169,0.007215,0.009909,0.01263,0.011468
283,0.015781,0,0.004794,0.011759,0.012958,0.014225,0.014963
284,0.012891,0.0127,0.018374,0.005667,0.003689,0.013515,0.004485
285,0.008341,0.010787,0.021695,0.011513,0.01571,0.005238,0.007703
286,0.004125,0.025228,0.025287,0.014341,0.014066,0.006115,0.004263
287,0.007794,0.017823,0.013809,0.006937,0.008752,0.020385,0.008206
288,0.012337,0.012614,0.011541,0.004116,0,0.014891,0.01049
289,0.003395,0,0.004784,0.006965,0.005577,0.00473,0.004047
290,0.019753,0.020689,0.010815,0.011952,0.007199,0.014123,0.012788
291,0.021878,0.009654,0.022257,0.00814,0.006217,0.004817,0.003893
292,0.016772,0.017128,0.00728,0.010884,0.009684,0.014604,0.010498
293,0.016511,0.014572,0.014188,0.004451,0,0.007729,0.011934
294,0.014063,0.021204,0.012474,0.004151,0.005287,0.015294,0.008453
295,0.015918,0.008969,0.015878,0.006482,0.007565,0.005864,0.006289
296,0.008954,0.004333,0.016296,0.006452,0.020424,0.003649,0.003785
297,0.003964,0.004587,0.004502,0.011919,0.012746,0.016821,0.005169
298,0,0.004084,0.005602,0.003671,0.014214,0.012891,0.011006
299,0.017654,0.004978,0.02419,0.006732,0.009677,0.013888,0.011692
300,0.01268,0.006271,0.013626,0.022187,0.010856,0.009775,0.009844
301,0.008164,0.009323,0.013131,0.006936,0.009159,0.015634,0.013601
302,0.018966,0.018676,0.009745,0.008741,0.016535,0.014846,0.006836
303,0.023305,0.012755,0.007251,0.016865,0.009782,0.014316,0.012474
304,0.005552,0.021838,0.006232,0.009202,0.004318,0.004004,0.006351
305,0.004577,0.011025,0.012672,0.006778,0.00693,0.009957,0.013479
306,0.013767,0.019326,0.008772,0.009638,0.007913,0.003598,0
307,0.015373,0.01013,0.00792,0.004169,0.004199,0.003676,0.0038
308,0.015241,0.013089,0.02575,0.012332,0.00454,0.006927,0.015406
309,0.012333,0.011006,0.017312,0.012239,0.007386,0.013551,0.00822
310,0.00997,0.004215,0.011078,0.004153,0.004155,0.004832,0.006332
311,0.010753,0.007824,0.010356,0.012876,0.012526,0.004364,0.004329
312,0,0.021414,0.006709,0.016081,0.020277,0.017666,0.008589
313,0.016042,0.022312,0.021031,0.010774,0.006975,0.00441,0.006787
314,0.010816,0.013548,0.017163,0.007189,0.008143,0.017114,0.016378
315,0.013893,0.020082,0.022493,0.010525,0.009379,0.015515,0.018984
316,0.011257,0.021279,0,0.006994,0.007145,0.015287,0.01256
317,0.022026,0.019905,0.017644,0.011764,0.020975,0.015548,0.011155
318,0.017998,0.021506,0.015029,0.01557,0.020376,0.005281,0.005151
319,0.00932,0.018248,0.019885,0.003593,0.004567,0.009861,0.009524
320,0.021263,0.012454,0.00644,0.01224,0.006419,0.011956,0.013587
321,0.022641,0.019046,0.016826,0.00428,0.004231,0.012586,0.010949
322,0.020785,0.006364,0.01726,0.018139,0.010265,0.015391,0.018872
323,0.009454,0.020341,0.011884,0.003103,0.004137,0.011083,0.014069
324,0.01481,0.016495,0.022048,0.003532,0.003707,0.01607,0.009387
325,0.02226,0.020425,0.025237,0.004189,0,0.013195,0.012646
326,0.018875,0.018152,0.010112,0.003627,0.006589,0.022406,0.015141
327,0.019514,0.020421,0.008586,0.017351,0.006586,0.013747,0.017544
328,0.010392,0.020029,0.015847,0.004847,0.017448,0.014464,0.009956
329,0.009155,0.012324,0.020519,0.003574,0.005669,0.008639,0.006769
330,0.019394,0.046633,0.025806,0.004045,0,0.007176,0.004999
331,0.016661,0.019454,0.012386,0.004034,0,0.013038,0.019999
332,0.018928,0.009126,0.016499,0.012169,0.006953,0.004409,0.004905
333,0,0.014002,0.01071,0.0067,0.005208,0.014926,0.015751
334,0.021543,0.003614,0.010305,0.004689,0.006115,0.00486,0.003861
335,0.008788,0,0.006799,0.007744,0.005765,0.012868,0.011119
336,0.016584,0.012953,0.016939,0.003967,0.003497,0.008043,0.007161
337,0.012811,0.010111,0.014313,0.006328,0.004844,0.0129,0.011911
338,0.019126,0.015161,0.020691,0.011166,0.01601,0.008121,0.00706
339,0.023332,0.027099,0.012791,0.012039,0.005467,0.003953,0
340,0.006854,0.008945,0.003922,0.014398,0.009494,0.012054,0.014603
341,0.00762,0.012838,0.008874,0.009364,0,0.004985,0.008011
342,0.015588,0.006188,0.010828,0.004083,0.004174,0.005187,0
343,0.016252,0.014642,0.013492,0.009203,0.011293,0.003964,0
344,0.006012,0.007175,0.00739,0.003799,0.004171,0.011532,0.01541
345,0.020734,0.021274,0.01631,0.005017,0.004324,0.018075,0.008625
346,0.014415,0.003782,0.003992,0.004767,0.003888,0.00615,0.004142
347,0.021031,0.013822,0.022789,0.013279,0.019746,0.004485,0
348,0.019755,0.010186,0.013021,0.005007,0.00481,0.004136,0.003769
349,0.012139,0,0.008776,0.007568,0.008917,0.012424,0.009855
350,0.019742,0,0.021344,0.009058,0.007427,0,0.004125
351,0.012363,0,0.007716,0.013927,0.008172,0.007607,0.007182
352,0.015352,0.010105,0.020993,0.010745,0.011352,0.00583,0.009141
353,0.010488,0.006309,0.019336,0.014853,0.008075,0.0211,0.009417
354,0.012193,0.008697,0.004947,0.014509,0.016168,0.004911,0.010982
355,0.016298,0.010941,0.015187,0.00362,0.004703,0.005359,0.007505
356,0.0202,0.010193,0.003867,0.008118,0.01773,0.004961,0.007173
357,0.018526,0.01703,0.019799,0.01233,0.008058,0.005577,0.00903
358,0.02163,0.01849,0.021284,0.010017,0.014383,0.017,0.009002
359,0.013924,0.020421,0.009099,0.009779,0.013404,0,0.004046
360,0.021063,0,0.020961,0.006064,0.009,0.007034,0.004265
361,0.019183,0.006425,0.016765,0.013057,0.006785,0.010024,0.011433
362,0.014434,0.014062,0.021984,0.008118,0.043709,0.016883,0.008989
363,0.019838,0.017464,0.017289,0.010759,0.012384,0.00611,0.020492
364,0.0191,0.00466,0.018008,0.005985,0.012063,0.010093,0.007722
365,0,0.016686,0.020254,0.017464,0.010922,0.012206,0.015211
366,0.016775,0.017629,0.017863,0.007748,0.010103,0.003648,0.003716
367,0.007005,0,0.004215,0.011603,0.004074,0.012426,0.010286
368,0.008631,0.013749,0.013606,0.007956,0.011044,0,0.004295
369,0.009546,0.013712,0.021836,0.003939,0.004827,0.008465,0.004513
370,0.011878,0.015256,0.01325,0.006168,0.007373,0.005279,0.005298
371,0.004514,0,0,0.011827,0.008841,0.008884,0.007307
372,0.008657,0.018159,0.006845,0.005356,0.010421,0.013976,0.006612
373,0.030421,0.026285,0.005033,0.013672,0.009287,0.003887,0.004485
374,0.019651,0.021116,0.022155,0,0.004164,0.009193,0.008683
375,0.018177,0.020248,0.018272,0.004556,0.004196,0.020713,0.008702
376,0.00966,0.015292,0.019777,0.006323,0.011957,0.00391,0
377,0.00983,0.012646,0.01384,0.008134,0.008273,0.003894,0.005472
378,0.014495,0.026765,0.024259,0.004367,0.004712,0.007888,0.005879
379,0.015858,0,0.009976,0.009143,0.014235,0.004281,0.005825
380,0.015484,0.010387,0.008579,0,0.003764,0.020027,0.005542
381,0.013607,0.012474,0.015326,0.011832,0,0.00786,0.017778
382,0.017392,0.030118,0.025669,0.009498,0.008196,0.006179,0.006456
383,0.010829,0.011932,0.021279,0.009641,0.01268,0.013506,0.011035
